epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1848.78,1.52651,1.19113,1.48576,0.52601,0.55313,0.54749,0.30213,1.50509,1.05252,1.31964,0.000848078,0.000848078,0.000848078
43,1892.74,1.48687,1.15087,1.43464,0.47147,0.49349,0.54243,0.25222,1.67094,1.19841,1.49114,0.000841006,0.000841006,0.000841006
44,1936.42,1.55244,1.1825,1.49987,0.64527,0.45812,0.58571,0.32298,1.59483,1.11856,1.39561,0.000833805,0.000833805,0.000833805
45,1980.18,1.50763,1.11701,1.46754,0.55281,0.52381,0.53094,0.29533,1.55449,1.1208,1.36942,0.000826477,0.000826477,0.000826477
46,2024.26,1.47664,1.11067,1.44105,0.383,0.60696,0.53785,0.29748,1.55731,1.19834,1.33518,0.000819025,0.000819025,0.000819025
47,2068.2,1.48116,1.1713,1.43691,0.40692,0.61007,0.52886,0.29969,1.50988,1.04616,1.34213,0.000811452,0.000811452,0.000811452
48,2112.3,1.46847,1.12967,1.41941,0.52754,0.60722,0.59741,0.28813,1.61001,1.06103,1.43165,0.00080376,0.00080376,0.00080376
49,2156.21,1.46707,1.07177,1.41847,0.52562,0.46618,0.50185,0.2875,1.60658,1.2165,1.43007,0.000795954,0.000795954,0.000795954
50,2200.02,1.50025,1.08722,1.44476,0.51204,0.61695,0.57333,0.28743,1.5091,1.02066,1.29791,0.000788035,0.000788035,0.000788035
51,2243.74,1.43041,1.03085,1.3954,0.6236,0.48362,0.59962,0.32011,1.52595,1.06553,1.33394,0.000780007,0.000780007,0.000780007
52,2287.56,1.46786,1.06195,1.41591,0.6924,0.49755,0.61962,0.30329,1.56208,1.04485,1.39439,0.000771873,0.000771873,0.000771873
53,2331.31,1.44667,1.02462,1.42653,0.55441,0.66009,0.64277,0.34261,1.53311,1.02389,1.31528,0.000763637,0.000763637,0.000763637
54,2401.32,1.4655,1.01101,1.42963,0.57977,0.64602,0.59013,0.3249,1.56854,1.08449,1.39555,0.0007553,0.0007553,0.0007553
